Date,Close,Dividends,High,Low,Open,Stock Splits,Ticker,Volume
2014-03-14,1841.13,0,1852.44,1839.57,1845.07,0,^GSPC,3285460000
2014-03-17,1858.83,0,1862.3,1842.81,1842.81,0,^GSPC,2860490000
2014-03-18,1872.25,0,1873.76,1858.92,1858.92,0,^GSPC,2930190000
2014-03-19,1860.77,0,1874.14,1850.35,1872.25,0,^GSPC,3289210000
2014-03-20,1872.01,0,1873.49,1854.63,1860.09,0,^GSPC,3327540000
2014-03-21,1866.52,0,1883.97,1863.46,1874.53,0,^GSPC,5270710000
2014-03-24,1857.44,0,1873.34,1849.69,1867.67,0,^GSPC,3409000000
2014-03-25,1865.62,0,1871.87,1855.96,1859.48,0,^GSPC,3200560000
2014-03-26,1852.56,0,1875.92,1852.56,1867.09,0,^GSPC,3480850000
2014-03-27,1849.04,0,1855.55,1842.11,1852.11,0,^GSPC,3733430000
2014-03-28,1857.62,0,1866.63,1850.07,1850.07,0,^GSPC,2955520000
2014-03-31,1872.34,0,1875.18,1859.16,1859.16,0,^GSPC,3274300000
2014-04-01,1885.52,0,1885.84,1873.96,1873.96,0,^GSPC,3336190000
2014-04-02,1890.9,0,1893.17,1883.79,1886.61,0,^GSPC,3131660000
2014-04-03,1888.77,0,1893.8,1882.65,1891.43,0,^GSPC,3055600000
2014-04-04,1865.09,0,1897.28,1863.26,1890.25,0,^GSPC,3583750000
2014-04-07,1845.04,0,1864.04,1841.48,1863.92,0,^GSPC,3801540000
2014-04-08,1851.96,0,1854.95,1837.49,1845.48,0,^GSPC,3721450000
2014-04-09,1872.18,0,1872.43,1852.38,1852.64,0,^GSPC,3308650000
2014-04-10,1833.08,0,1872.53,1830.87,1872.28,0,^GSPC,3758780000
2014-04-11,1815.69,0,1835.07,1814.36,1830.65,0,^GSPC,3743460000
2014-04-14,1830.61,0,1834.19,1815.8,1818.18,0,^GSPC,3111540000
2014-04-15,1842.98,0,1844.02,1816.29,1831.45,0,^GSPC,3736440000
2014-04-16,1862.31,0,1862.31,1846.01,1846.01,0,^GSPC,3155080000
2014-04-17,1864.85,0,1869.63,1856.72,1861.73,0,^GSPC,3341430000
2014-04-21,1871.89,0,1871.89,1863.18,1865.79,0,^GSPC,2642500000
2014-04-22,1879.55,0,1884.89,1872.57,1872.57,0,^GSPC,3215440000
2014-04-23,1875.39,0,1879.75,1873.91,1879.32,0,^GSPC,3085720000
2014-04-24,1878.61,0,1884.06,1870.24,1881.97,0,^GSPC,3191830000
2014-04-25,1863.4,0,1877.72,1859.7,1877.72,0,^GSPC,3213020000
2014-04-28,1869.43,0,1877.01,1850.61,1865.0,0,^GSPC,4034680000
2014-04-29,1878.33,0,1880.6,1870.78,1870.78,0,^GSPC,3647820000
2014-04-30,1883.95,0,1885.2,1872.69,1877.1,0,^GSPC,3779230000
2014-05-01,1883.68,0,1888.59,1878.04,1884.39,0,^GSPC,3416740000
2014-05-02,1881.14,0,1891.33,1878.5,1885.3,0,^GSPC,3159560000
2014-05-05,1884.66,0,1885.51,1866.77,1879.45,0,^GSPC,2733730000
2014-05-06,1867.72,0,1883.69,1867.72,1883.69,0,^GSPC,3327260000
2014-05-07,1878.21,0,1878.83,1859.79,1868.53,0,^GSPC,3632950000
2014-05-08,1875.63,0,1889.07,1870.05,1877.39,0,^GSPC,3393420000
2014-05-09,1878.48,0,1878.57,1867.02,1875.27,0,^GSPC,3025020000
2014-05-12,1896.65,0,1897.13,1880.03,1880.03,0,^GSPC,3005740000
2014-05-13,1897.45,0,1902.17,1896.06,1896.75,0,^GSPC,2915680000
2014-05-14,1888.53,0,1897.13,1885.77,1897.13,0,^GSPC,2822060000
2014-05-15,1870.85,0,1888.16,1862.36,1888.16,0,^GSPC,3552640000
2014-05-16,1877.86,0,1878.28,1864.82,1871.19,0,^GSPC,3173650000
2014-05-19,1885.08,0,1886.0,1872.42,1876.66,0,^GSPC,2664250000
2014-05-20,1872.83,0,1884.88,1868.14,1884.88,0,^GSPC,3007700000
2014-05-21,1888.03,0,1888.8,1873.34,1873.34,0,^GSPC,2777140000
2014-05-22,1892.49,0,1896.33,1885.39,1888.19,0,^GSPC,2759800000
2014-05-23,1900.53,0,1901.26,1893.32,1893.32,0,^GSPC,2396280000
2014-05-27,1911.91,0,1912.28,1902.01,1902.01,0,^GSPC,2911020000
2014-05-28,1909.78,0,1914.46,1907.3,1911.77,0,^GSPC,2976450000
2014-05-29,1920.03,0,1920.03,1909.82,1910.6,0,^GSPC,2709050000
2014-05-30,1923.57,0,1924.03,1916.64,1920.33,0,^GSPC,3263490000
2014-06-02,1924.97,0,1925.88,1915.98,1923.87,0,^GSPC,2509020000
2014-06-03,1924.24,0,1925.07,1918.79,1923.07,0,^GSPC,2867180000
2014-06-04,1927.88,0,1928.63,1918.6,1923.06,0,^GSPC,2793920000
2014-06-05,1940.46,0,1941.74,1922.93,1928.52,0,^GSPC,3113270000
2014-06-06,1949.44,0,1949.44,1942.41,1942.41,0,^GSPC,2864300000
2014-06-09,1951.27,0,1955.55,1947.16,1948.97,0,^GSPC,2812180000
2014-06-10,1950.79,0,1950.86,1944.64,1950.34,0,^GSPC,2702360000
2014-06-11,1943.89,0,1949.37,1940.08,1949.37,0,^GSPC,2710620000
2014-06-12,1930.11,0,1943.35,1925.78,1943.35,0,^GSPC,3040480000
2014-06-13,1936.16,0,1937.3,1927.69,1930.8,0,^GSPC,2598230000
2014-06-16,1937.78,0,1941.15,1930.91,1934.84,0,^GSPC,2926130000
2014-06-17,1941.99,0,1943.69,1933.55,1937.15,0,^GSPC,2971260000
2014-06-18,1956.98,0,1957.74,1939.29,1942.73,0,^GSPC,3065220000
2014-06-19,1959.48,0,1959.87,1952.26,1957.5,0,^GSPC,2952150000
2014-06-20,1962.87,0,1963.91,1959.17,1960.45,0,^GSPC,4336240000
2014-06-23,1962.61,0,1963.74,1958.89,1962.92,0,^GSPC,2717630000
2014-06-24,1949.98,0,1968.17,1948.34,1961.97,0,^GSPC,3089700000
2014-06-25,1959.53,0,1960.83,1947.49,1949.27,0,^GSPC,3106710000
2014-06-26,1957.22,0,1959.89,1944.69,1959.89,0,^GSPC,2778840000
2014-06-27,1960.96,0,1961.47,1952.18,1956.56,0,^GSPC,4290590000
2014-06-30,1960.23,0,1964.24,1958.22,1960.79,0,^GSPC,3037350000
2014-07-01,1973.32,0,1978.58,1962.29,1962.29,0,^GSPC,3188240000
2014-07-02,1974.62,0,1976.67,1972.58,1973.06,0,^GSPC,2851480000
2014-07-03,1985.44,0,1985.59,1975.88,1975.88,0,^GSPC,1998090000
2014-07-07,1977.65,0,1984.22,1974.88,1984.22,0,^GSPC,2681260000
2014-07-08,1963.71,0,1976.39,1959.46,1976.39,0,^GSPC,3302430000
2014-07-09,1972.83,0,1974.15,1965.1,1965.1,0,^GSPC,2858800000
2014-07-10,1964.68,0,1969.84,1952.86,1966.67,0,^GSPC,3165690000
2014-07-11,1967.57,0,1968.67,1959.63,1965.76,0,^GSPC,2684630000
2014-07-14,1977.1,0,1979.85,1969.86,1969.86,0,^GSPC,2744920000
2014-07-15,1973.28,0,1982.52,1965.34,1977.36,0,^GSPC,3328740000
2014-07-16,1981.57,0,1983.94,1975.67,1976.35,0,^GSPC,3390950000
2014-07-17,1958.12,0,1981.8,1955.59,1979.75,0,^GSPC,3381680000
2014-07-18,1978.22,0,1979.91,1960.82,1961.54,0,^GSPC,3106060000
2014-07-21,1973.63,0,1976.93,1965.77,1976.93,0,^GSPC,2611160000
2014-07-22,1983.53,0,1986.24,1975.65,1975.65,0,^GSPC,2890480000
2014-07-23,1987.01,0,1989.23,1982.44,1985.32,0,^GSPC,2869720000
2014-07-24,1987.98,0,1991.39,1985.79,1988.07,0,^GSPC,3203530000
2014-07-25,1978.34,0,1984.6,1974.37,1984.6,0,^GSPC,2638960000
2014-07-28,1978.91,0,1981.52,1967.31,1978.25,0,^GSPC,2803320000
2014-07-29,1969.95,0,1984.85,1969.95,1980.03,0,^GSPC,3183300000
2014-07-30,1970.07,0,1978.9,1962.42,1973.21,0,^GSPC,3448250000
2014-07-31,1930.67,0,1965.14,1930.67,1965.14,0,^GSPC,4193000000
2014-08-01,1925.15,0,1937.35,1916.37,1929.8,0,^GSPC,3789660000
2014-08-04,1938.99,0,1942.92,1921.2,1926.62,0,^GSPC,3072920000
2014-08-05,1920.21,0,1936.34,1913.77,1936.34,0,^GSPC,3462520000
2014-08-06,1920.24,0,1927.91,1911.45,1917.29,0,^GSPC,3539150000
2014-08-07,1909.57,0,1928.89,1904.78,1923.03,0,^GSPC,3230520000
2014-08-08,1931.59,0,1932.38,1909.01,1910.35,0,^GSPC,2902280000
2014-08-11,1936.92,0,1944.9,1933.43,1933.43,0,^GSPC,2784890000
2014-08-12,1933.75,0,1939.65,1928.29,1935.73,0,^GSPC,2611700000
2014-08-13,1946.72,0,1948.41,1935.6,1935.6,0,^GSPC,2718020000
2014-08-14,1955.18,0,1955.23,1947.41,1947.41,0,^GSPC,2609460000
2014-08-15,1955.06,0,1964.04,1941.5,1958.87,0,^GSPC,3023380000
2014-08-18,1971.74,0,1971.99,1958.36,1958.36,0,^GSPC,2638160000
2014-08-19,1981.6,0,1982.57,1972.73,1972.73,0,^GSPC,2656430000
2014-08-20,1986.51,0,1988.57,1977.68,1980.46,0,^GSPC,2579560000
2014-08-21,1992.37,0,1994.76,1986.82,1986.82,0,^GSPC,2638920000
2014-08-22,1988.4,0,1993.54,1984.76,1992.6,0,^GSPC,2301860000
2014-08-25,1997.92,0,2001.95,1991.74,1991.74,0,^GSPC,2233880000
2014-08-26,2000.02,0,2005.04,1998.59,1998.59,0,^GSPC,2451950000
2014-08-27,2000.12,0,2002.14,1996.2,2000.54,0,^GSPC,2344350000
2014-08-28,1996.74,0,1998.55,1990.52,1997.42,0,^GSPC,2282400000
2014-08-29,2003.37,0,2003.38,1994.65,1998.45,0,^GSPC,2259130000
2014-09-02,2002.28,0,2006.12,1994.85,2004.07,0,^GSPC,2819980000
